<SCRIPT, Reservada_Script>
<CHEIO, Reservada_Int>
<a, Id>
<=, ATRIBUICAO>
<0, NUM>
<;, Fim>
<MOSTRA, Reservada_Print>
<(, LPAREN>
<ABCD, Reservada_String>
<,, Separador>
<"Entre com um valor:", Texto>
<), RPAREN>
<ENTRA, Reservada_Input>
<(, LPAREN>
<CHEIO, Reservada_Int>
<,, Separador>
<a, Id>
<), RPAREN>
<CHEIO, Reservada_Int>
<b, Id>
<=, ATRIBUICAO>
<0, NUM>
<;, Fim>
<MOSTRA, Reservada_Print>
<(, LPAREN>
<ABCD, Reservada_String>
<,, Separador>
<"Entre com outro valor:", Texto>
<), RPAREN>
<ENTRA, Reservada_Input>
<(, LPAREN>
<CHEIO, Reservada_Int>
<,, Separador>
<b, Id>
<), RPAREN>
<CHEIO, Reservada_Int>
<mult, Id>
<=, ATRIBUICAO>
<0, NUM>
<;, Fim>
<mult, Id>
<=, ATRIBUICAO>
<(, LPAREN>
<a, Id>
<*, MULT>
<b, Id>
<), RPAREN>
<;, Fim>
<MOSTRA, Reservada_Print>
<(, LPAREN>
<CHEIO, Reservada_Int>
<,, Separador>
<mult, Id>
<), RPAREN>
<$, EOF>
